	news	summary
0	"화자1]개그맨 김경진이 방송을 통해 공개구혼에 나섰습니다.
화자2]김경진은 9일 방송되는 KBS2 건강 프로그램 <비타민> '2013 새해건강계획 남성편' 위험인물 5인방 왕중왕전의 게스트로 출연해 KBS N 최희 아나운서에게 고백하며 공개적으로 구혼을 펼쳤습니다.
화자1]그는 예전 비타민 ‘두뇌건강’ 편에 출연해 모두를 놀라게 한 위험인물로 선정되었으며 새해를 맞아 다시 한 번 건강 상태를 점검받기 위해 출연했습니다.
화자2]김경진은 새해 계획으로'2013년부터 운동을 열심히 해서 몸과 정신을 건강하게 만들고, 결혼을 하고 싶습니다.'고 밝혔습니다. 이에 MC 김용만은 '이상형이 누구냐'고 물었고, 김경진은 망설임 없이 ‘최희 아나운서’라고 말해 주위를 놀라게 했습니다.
화자1]이어 '제 전두엽은 새 것입니다. 한 번도 쓰지 않았거든요. 최희 아나운서, 제 전두엽을 받아주세요.'라고 덧붙여 웃음을 자아냈습니다.
화자2]한편 이날 녹화에는 김경진 외에 김학래, 곱성, 박완규, 허각이 출연하여 현재 건강 상태를 꼼꼼하게 점검받았으며 이들의 건강상태는 9일 수요일 밤 08시50분 KBS2 비타민에서 확인할 수 있습니다."	개그맨 김경진이 KBS2 건강 프로그램 '비타민'에 출연해서 최희 아나운서에게 공개 구혼을 했다. MC 김용만이 이상형을 묻자 김경진은 최희 아나운서가 이상형이라고 대답했다. 김학래, 박완규 등이 이날 녹화에 출연해서 건강 상태를 점검받았으며, 이 내용은 9일 수요일 밤 8시 50분에 방송된다.
1	"화자1]서준영이 개성파 조연3인방으로부터 칭찬 릴레이를 받았습니다.
화자2]지난 일요일(6일) 방송 직후 호평일색의 감상평과 극찬을 이끌어낸 KBS 드라마 스페셜 연작시리즈 시즌3의 첫 번째 라인업 4부 작 ‘시리우스’(극본 원리오, 연출 모완일)에서 강렬한 존재감을 드러내며 심야 브라운관을 공습하고 있는 개성파 조연 신정근, 1100원길, 우정국이 주인공 후배 서준영을 입이 닳도록 칭찬한 것.
화자1]먼저 ‘시리우스’에서 20년차 강력계 팀장 이현구 역으로 어린 수사과장 도신우(서준영)와 파트너를 이루고 있는 신정근은 '서준영은 젊은 친구답게 상당히 열심히 합니다. 몸을 던지는 액션 신도 의욕적으로 참여해 멍투성이의 몸이 걱정이 될 정도'라고 칭찬했으며 '끝까지 해내려는 의지와 ‘진짜 연기’를 하고 있는 모습이 대견스럽다'며 주인공의 태도에 감탄했습니다.
화자2]또한 극 중에선 강력계 막내 박진태 형사 역을 맡고 있으며 실제 연극계에선 베테랑 배우인 1100원길은 '서준영은 깍듯하고 예의바른 친구'라고 첫인상을 전했고 덧붙여 '도은창, 도신우 1인 2역에 대한 고민을 많이 하고 선배들에게 질문도 많이 합니다. 세심한 것 하나하나 배우고자 하는 남다른 자세를 갖춘 배우다'라며 칭찬했습니다.
화자1]마지막으로 마약중독자 멸치 역으로 안방극장의 씬스틸러로 시청자들의 뇌리에 깊은 인상을 심어주고 있는 배우 우정국은 '서준영은 직접 강력계 형사를 만나 실제 상황을 파악할 정도로 열의가 있는 배우다'며 비하인드 스토리를 전했으며 '장면마다 서로 의견을 많이 나누었습니다. 도신우 과장과 멸치의 위험하고 거친 장면들도 덕분에 시청자들의 눈을 사로잡을 수 있었던 것 같다'며 단단한 팀워크를 과시하기도 했습니다.
화자2]한편 신분이 뒤바뀐 쌍둥이 형제 도신우, 도은창이 진짜와 가짜를 오가며 팽팽한 긴장감을 선사할 드라마 스페셜 연작시리즈 시즌3 ‘시리우스’는 13일 밤 11시45분 KBS 2TV를 통해 방송됩니다."	KBS 드라마 스페셜 연작시리즈 시즌3 드라마 '시리우스'에서 개성파 조연 3인방으로부터 서준영이 칭찬을 받았다. 먼저 신정근은 젊은 친구답게 열심히 하는 태도에 감탄하였고, 백원길은 예의 바르고 배우고자 하는 자세를 가진 배우라며 칭찬했다. 우정국은 서준영이 강력계 형사를 만나 실제 상황을 이해할 정도로 열의 넘치는 배우라고 전했다.
2	"화자1]전 축구 국가대표 안정환의 아내 이혜원이 남편을 위해 유산사실을 숨겼다고 밝혔습니다.
화자2]지난 15일 방송된 KBS 2TV <승승장구>에서는 그라운드의 황태자 안정환과 그의 아내 이혜원이 출연해 두 사람의 러브 스토리를 비롯 지나온 삶에 대한 진솔하게 털어놨습니다.
화자1]이 날 방송에서 이혜원은 축구 선수의 아내로 산다는 것에 대한 어려움에 대해 '이 일은 남편도 뒤늦게 알았던 일입니다.'라고 말을 시작했습니다.
화자2]이어 이혜원은 '아이를 가졌는데 유산을 했습니다. 나이도 어렸고 어떻게 해야할지를 몰랐습니다. 주변에 도와줄 사람도 없어 결국 혼자 배를 움켜쥐고 병원에 갔었습니다.'며 '축구선수는 심리적으로 안정을 찾아야 합니다. 남편이 시합이 있었고 시합에서 흔들리지 않게 하기 위해서 말하지 않았습니다.'며 아픈 과거를 회상해 스튜디오를 숙연하게 만들었습니다.
화자1]계속해서 이혜원은 시합이 끝난 뒤에야 울면서 유산 얘기를 꺼낼 수 있었다고 합니다. 이에 안정환은 '그 때 굉장히 미안했습니다.'고 심경을 고백했습니다.
화자2]한편 이 날 방송에서는 안정환이 이탈리아 리그에 진출했을 당시 마르코 마테리치로부터 인종 차별을 당했던 일화를 공개해 많은 화제를 불러 일으켰습니다.
화자1]* 캡쳐 이미지를 누르면 찜 동영상을 볼 수 있습니다. *."	축구선수 안정환의 아내 이혜원은 지난 15일 방송된 '승승장구'에서 과거 어린 나이에 유산을 했지만 시합을 앞둔 안정환이 흔들리지 않도록 유산 사실을 숨겼던 경험을 이야기했다. 이혜원은 경기가 끝난 후에야 유산을 알렸고, 안정환은 당시 많이 미안했다고 고백한다. 이날 안정환은 이탈리아 리그에서 인종 차별을 당했던 경험을 공개하기도 했다.
3	"화자1]가희준과 김갑수가 아슬아슬 ‘은밀한 독대’를 나누는 모습가 공개됐습니다.
화자2]가희준과 김갑수는 KBS 수목드라마 ‘전 우치’(극본 조명주/연출 강일수/초록뱀 미디어 제작)에서 회가 거듭될수록 극한의 악행을 펼치며 조선을 좌지우지하는 모습으로 극의 긴장감을 높가고 있습니다.
화자1]강림(가희준)은 조선을 차지하기 위해 오용(김병세)의 끄나풀로 궁궐에 잠입, ‘악의 세력’으로 사나운 위세를 떨치고 있고, 마숙(김갑수) 오용에게 빼앗겼던 부산포 왜관 상권과 좌상가 누리는 권력까지 전부 다 빼앗기 위한 표리부동한 야욕을 드러내고 있는 것.
화자2]무엇보다 23일 방송될 ‘전우치’ 19회에서는 그동안 모습을 드러내지 않은 채 자숙의 시간을 보내왔던 마숙가 본격적으로 재등장, 강림과 심각한 독대를 갖는 모습가 담길 예정입니다. 핏발 선 눈빛으로 강림을 응시하는 마숙과 마숙의 눈빛을 담담하게 받아들가고 있는 강림의 모습을 통해 ‘조선을 멸망시키자!’라는 악한 뜻으로 하나가 된 두 사람가 꾀하고 있는 ‘검은 음모’에 대한 궁금증가 높아지고 있는 것. ‘악역 본좌’ 마강림과 도력으로 강력해진 전 우치의 한판 대결가! 성사될 지 귀추가 주목되고 있습니다.
화자1]촬영은 지난 13일 경기도 안성 드라마 세트장에서 진행됐습니다. 첫회부터 극한의 ‘악역 콤비’로 호흡을 맞춰왔던 김갑수와 가희준은 완벽한 카리스마 호흡으로 현장을 후끈 달아오르게 만들었습니다. 특히 ‘전우치’ 초반 ‘관록의 배우’ 김갑수에게 직접 배역의 감정선과 표현 등에 대한 가르침을 받아왔던 가희준은 오랜 만에 펼쳐진 김갑수와의 연기 호흡에서 180도 달라진 눈빛과 카리스마 넘치는 연기를 선보가며 현장의 극찬을 받았습니다.
화자2]한편 지난주 방송에서는 무연(유가), 철견(조재윤)의 적극적인 노력으로 인해 율도국 도사들로부터 강력한 도술을 얻게 되는 전 우치(차태현)의 모습가 담겨진 가운데 KBS 수목미니시리즈 ‘전 우치’는 수, 목 오후 10시 KBS 2TV에서 방송됩니다."	드라마 '전우치'에서 조선을 장악하려는 가희준과 상권과 권력을 빼앗으려는 김갑수가 은밀한 독대를 나누는 모습이 공개됐다. 분노에 찬 눈빛으로 가희준을 응시하는 김갑수와 그 눈빛을 담담하게 받아들이는 가희준의 모습은 두 사람이 꾸미는 음모에 대한 궁금증을 자아낸다. 경기도 안성 드라마 세트장에서 촬영된 이 장면은 '전우치' 19회에서 방송된다.
4	"화자1]배우 서준영이 두 달 동안 동고동락한 배우, 스태프들을 위해 종방연을 개최하며 끈끈한 동료애를 과시했습니다.
화자2]대한민국 유일의 연작극 KBS 드라마스페셜 연작시리즈 시즌 3의 첫 번째 작품 ‘시리우스’(극본 원리오, 연출 모완일)가 심야 주말 시청자들의 잠을 상쇄시키는 드라마쇼크를 선보이며 지난 27일 마지막 4회로 종영한 가운데 주인공 배우 서준영이 배우, 스태프들과 함께 작별의 아쉬움을 달랜 것.
화자1]배우 서준영은 지난 28일 여의도의 한 고기집에서 류승수, 박순천, 1100원길, 조우리 등 주요배우들과 연출인 모완일 감독, 원리오 작가 등 스태프들 80여명을 초대, 통 크게 한 턱을 쏘며 화기애애한 분위기를 연출했습니다.
화자2]건배제의를 하기 위해 자리에서 일어난 서준영은 큰 목소리로 '4부 작 ‘시리우스’ 촬영동안 너무 행복했습니다. 너무 감사합니다. 즐겁게 즐기시길 바랍니다'라며 짧고 굵은 감사의 멘트로 스태프들의 환호와 박수갈채를 이끌어 냈습니다.
화자1]현장에서 서준영의 ‘연기 도우미’ 역할을 자처했던 선배 배우 류승수는 '영하 16도를 오르내리는 혹한 속에서 웃음을 잃지 않던 서준영과 스태프들과 함께하면서 가슴이 벅차오름을 느꼈다'며 '가슴 뜨거운 스태프들과 함께했기에 ‘시리우스’가 시청자들의 많은 관심을 받은 것 같다'고 전하며 스태프들에게 공을 돌리기도 했습니다.
화자2]또한 드라마 속 도은창, 도신우 쌍둥이 형제와 그들의 절대 앙숙 고석민 사장으로 열연했던 서준영과 류승수는 친형제 못지않은 화기애애한 브이인증샷을 공개하며 눈길을 끌기도 했습니다.
화자1]‘시리우스’는 특히 ‘마약과 수사물’이라는 다루기 힘든 소재와 장르를 짜임새 있는 스토리로 다룸으로써 ‘다른’ 드라마에 굶주린 시청자들을 만족시켰다는 평가를 받으며 수준 높은 열혈 드라마 마니아들에게 뜨거운 호응을 얻었습니다.
화자2]한편 ‘시리우스’의 후속으로는 KBS 드라마스페셜 연작시리즈 시즌 3 두 번째 작품 ‘그녀들의 완벽한 하루’가 오는 17일 밤 11시45분 KBS 2TV를 통해 방송됩니다."	"배우 서준영이 지난 28일 '시리우스' 종방연에서 배우와 감독, 작가 등 스태프 80명 여을 초대해 통 큰 한턱을 냈다. 서준영은 건배제의에서 ""시리우스 촬영 동안 너무 행복했고 감사했다, 즐기라""라는 굵은 멘트로 환호와 박수를 받았다. 연기 도우미를 자청했던 선배 류승수는 서준영과 친형제 못지않은 화기애애한 인증샷으로 화제를 부르기도 했다."
5	"화자1]개그맨 이상구가 '나쁜 사람'을 통해 <개그 콘서트>에 복귀했습니다.
화자2]지난 3일 방송된 KBS 2TV <개그 콘서트>에서는 개그맨 이상구와 유민상, 이문재 등이 주축이 되어 눈물 나는 사연을 지닌 범인과 그로 인해 마음이 약해진 형사들이 벌이는 코너 '나쁜 사람'이 첫 전파를 탔다.
화자1]이 날 방송에서 빈집털이범으로 경찰서에 잡혀 온 이상구는 범행을 저지른 이유에 대해 '예전에 부모님과 함께 살던 집이었습니다. 그런데 아버지의 사업실패로 쫓겨나고 아버지는 돌아가셨다. 어머니는 그 충격으로 앓아누우셨다'며 가슴 아픈 속사정을 말했습니다.
화자2]이어 형사들은 이상구에게 피도 눈물도 없이 취조를 하겠다며 동정심을 유발하지 말라고 일갈하면서도 이상구의 말 한마디에 절절하게 마음 아픈 표정을 짓거나 눈물을 흘리는 등 이상구에게 약해지는 모습을 보여 좌중의 웃음을 유발했습니다.
화자1]이처럼 가슴 아픈 사연으로 형사들을 쥐락펴락하며 위기의 순간을 모면하는 능청스러운 도둑 이상구의 열연에 힘입어 '나쁜 사람'은 4일 시청률조사기관 닐슨코리아에 따르면 전국기준 26.1%의 시청률을 기록하면서 <개그 콘서트> 코너별 시청률 1위에 등극했습니다.
화자2]한편 이 날 <개그 콘서트>의 코너 '생활의 발견'에서는 배우 황신혜가 등장해 백치미 가득한 송준근의 여자친구로 출연해 시청자들에게 큰 웃음을 선사했습니다.
화자1]* 캡쳐 이미지를 누르면 찜 동영상을 볼 수 있습니다. *."	이상구는 개그 콘서트의 '나쁜 사람' 코너로 복귀했는데, 이 코너는 슬픈 사연을 가진 범인에게 마음이 흔들리는 형사들의 이야기다. 3일 방송분에서 이상구는 빈집털이범으로 잡혀와 슬픈 사연으로 경찰을 농락하는 능청스러운 범인 연기로 웃음을 유발했다. '나쁜 사람'은 26%의 시청률을 기록해 개그 콘서트 코너별 시청률 1위를 차지했다.
6	"화자1]심지호와 박희본의 운명적인 인연을 지닌 사연이 공개됐습니다.
화자2]지난 6일 방송된 KBS 2TV 일일 시트콤 <패밀리>의 마지막 회에서는 봉지커플 차지호(심지호)와 열희봉(박희본)의오래전부터 인연의 자락을 따라 연인이 되는 에피소드가 전파를 탔다.
화자1]이 날 방송에서 지호는 과거 이태리에서 만났던 여자친구와 헤어짐으로 인해 지금의 우신혜(황신혜)의 건물로 들어오게 된 것을 떠올리며 그 일이 아니었다면 지금의 희봉과 만날 수 없었을 것이라고 얘기했습니다.
화자2]하지만 두 사람이 모르는 과거는 아주예전부터 두 사람의 인연이 시작됐음을 알려주고 있었습니다. 먼저 차에 치일 뻔했던 고등학생 지호를 밀치고 구해낸 것은 다름아닌 희봉이었습니다. 또 지호는 군인 시절 여자친구와 영화를 보러 갔다가 화장실에서 울고있는 희봉과 입씨름을 하던 도중 변태로 몰려 당시 여자친구와 헤어지기도 했던 것.
화자1]뿐만 아니라, 지호는 이태리로 유학을 가려고 했던 마음이 여자친구와의 헤어짐으로 인해 흐려졌을 때도 희봉이 찬 캔에 맞은 것으로 인해 유학을 떠날 결심을 하는 등애초부터 지호와 희봉은 운명적인 사이였습니다.
화자2]이후 현재의 지호와 희봉은 만날 약속을 잡아놓았지만 각자의 사정으로 인해 길이 엇갈렸습니다. 설 연휴가 끝날 때까지 얼굴을 보지 못하고 헤어지게 된 두 사람은 아쉬워했지만 때마침 엇갈린 장소가 같은 곳이었다는 것을 알고 더욱 반가워했습니다.
화자1]이어 지호는 희봉에게 '바라만 보고 있어도 좋은데 안 만났으면 어쩔 뻔했느냐'고 말했고 희봉은 '우리도 운명적인 만남이긴 한가보다.'며 함박웃음을 지었습니다.
화자2]한편 이 날 방송에서는 성격이 쌀쌀맞아서 친구가 없던 우다윤(다솜)이 성격을 바꾸고 친구들과의 관계를 회복하는 모습이 그려져 눈길을 끌었습니다.
화자1]* 캡쳐 이미지를 누르면 찜 동영상을 볼 수 있습니다. *."	시트콤 <패밀리>의 마지막 회에서 지호와 희봉 커플이 연인이 되기까지 오래전부터 이어졌던 인연에 관한 에피소드가 방송되었다. 지호의 고등학생 때부터 군인시절, 유학을 결심했던 때 등 모두 희봉과 엮여있었으며, 둘은 서로의 운명적 만남을 되돌아봤다. 한편 성격이 쌀쌀맞아 친구가 없던 우다윤이 친구들과의 관계를 회복하는 모습도 방송되었다.
7	"화자1]화려한 스케일과 박진감 넘치는 스토리로 시청자들을 압도하고 있는 드라마 ‘아이리스Ⅱ’의 두 번째 OST로 노을의 ‘어떤가요’와 MV가 오는 20일(수) 정오에 동시 공개될 예정인 것.
화자2]첫 번째로 공개되었던 다비치의 ‘모르시나요’가 음악차트 1위를 차지하며 뜨거운 관심을 받은 데 이어 두 번째로 공개될 ‘어떤가요’는 감성을 녹이는 명품 보컬그룹 노을과 작곡가 최규성이 4집 ‘하지 못한 말’ 이후 다시 한 번 호흡을 맞춘 정통 발라드 곡으로, 극 중 지수연 역 이다해와 서현우 역 윤두준의 테마곡입니다.
화자1]노을의 지원사격으로 뜨거운 관심을 모으는 ‘어떤가요’는 잔잔한 피아노 선율과 스트링 연주에 노을만이 가지고 있는 애절한 보이스, 슬픈 감성이 더해져 두 사람의 모습을 더욱 아련하게 만들 전망입니다.
화자2]또한 ‘어떤가요’ MV에는 윤두준의 시선으로 그려지는 이다해를 향한 애틋한 외사랑, 아련한 추억이 담겨있어 앞으로 그려질 두 사람의 스토리에 더욱 기대가 모이고 있습니다.
화자1]드라마 ‘아이리스Ⅱ’의 한 관계좌는 '다비치의 ‘모르시나요’에 이어 노을의 ‘어떤가요’는 극 중 윤두준이 이다해를 바라보는 애틋한 시선을 노을 특유의 감성으로 잘 담아낸 곡입니다. 앞으로 그려질 두 사람의 모습을 더욱 기대하셔도 좋을 것 같습니다.'라고 기대감을 높였습니다.
화자2]한편 카리스마 테러리스트로 반전 변신한 중원(이범수 분)과 유건(장혁 분)의 대 격돌로 한 층 더 흥미진진한 전개를 예고하고 있는 드라마 ‘아이리스Ⅱ’ 3회는 오는 20일(수) 밤 10시에 방송됩니다."	드라마 ‘아이리스Ⅱ’의 두 번째 OST인 노을의 ‘어떤가요’의 MV가 20일 정오 공개될 예정이다. '어떤가요'는 보컬 노을과 작곡가 최규성이 4집 이후 한 번 더 호흡을 맞춘 발라드 곡으로 극 중 윤두준과 이다해의 테마곡이다. 윤두준이 이다해를 바라보는 애틋한 시선을 담은 '어떤가요' MV는 앞으로 그려질 두 사람의 모습을 기대하게 한다.
8	"화자1]배우 유인나가 학창시절 왕따를 당했던 사연을 고백했습니다.
화자2]지난 26일 방송된 KBS 2TV <달빛 프린스>에서는 게스트로 배우 유인나와 그룹 시크릿의 한선화가 출연해 박성우 시인의 '난 빨강'에 대한 이야기를 나눴습니다.
화자1]이 날 방송에서 용감한 형제의 선생님이 된 유인나는 '나는 학교 다닐때부터 연기자 준비를 했습니다. 머리도 다른 학생보다 길었는데 선생님이 차별대우를 했습니다. 굉장히 날 예뻐해주셨다.'면서 자신은 그 결과 반 친구들로부터 왕 따가 밖에 될 수 없었다고 털어놨습니다.
화자2]이어 유인나는 '점심시간에 친구와 밖에 나갔다가 들어오면 의자가 삐걱거리는 걸로 바뀌어있거나 책상위에 반찬이 올려져 있더라. 내 책상이었기때문에 그걸 내가 치워야 했습니다.'는 일화를 밝혔습니다.
화자1]또한 라디오 DJ로도 활약 중인 유인나는 '지금도 라디오 사연중에 왕따에 관한 사연이 올라오면 마음이 뭉클하고 따뜻하게 보듬어주고 싶고 그렇습니다.'고 남다른 마음을 전하기도 했습니다.
화자2]한편 이 날 방송에서는 MC 최강창민이 자신의 일일학생이 된 한선화에게 배우 이연희, 소녀시대 윤아만큼 예쁜 외모라고 칭찬을 해 시청자들의 이목을 집중 시켰습니다.
화자1]* 캡쳐 이미지를 누르면 찜 동영상을 볼 수 있습니다. *."	KBS 2TV '달빛 프린스' 26일 방송에서 유인나와 한선화가 박성우 시인의 '난 빨강'을 주제로 이야기했다. 유인나는 연기자를 준비하던 학창 시절에 선생님께 예쁨을 받아 친구들에게는 왕따를 당했다며 라디오 진행 중 왕따 사연이 오면 마음이 뭉클하다 말했다. 한편, MC 최강창민은 일일 학생인 한선화의 외모를 칭찬해 이목을 집중시켰다.
9	"화자1]강성범은 '두 분의 상식을 확인 해 보기 위해 O,X퀴즈를 준비해왔습니다.'며 MC들에게 선전포고했습니다. 이에 탤런트 박영린은 뿅망치를 들고 나타나 당당한 두 MC 김준호, 김원효를 긴장케 했습니다.
화자2]O,X퀴즈 초반에 선전하는 듯 보이던 MC김준호는 갈수록 뿅망치의 위험에서 벗어나지 못하자, 비장한 목소리로 '두 대 걸겠습니다.'라고 말했습니다. 김준호의 말에 강성범은 '한 10대 걸지'라는 말로 자극해 결국 김준호는 '5대 걸겠습니다'라며 말을 바꿨다. 갑작스레 이뤄진 딜(?)로 O,X퀴즈는 점차 흥미진진해졌습니다. 그 결과, 김준호는 '누구를 위한 법인 것인가'라는 명언(?)을 남기며 다섯 출연자들에게 돌아가며 뿅망치를 맞게 돼 웃음을 자아냈습니다.
화자1]과연 생활 속 법률 상식에 박식한 이들이 상금획득에도 성공할 수 있을지 다가오는 일요일(10일), 08시10분 KBS2 <퀴즈쇼 사총사>에서 확인할 수 있습니다."	강성범이 상식 확인을 목적으로 하는 퀴즈를 준비하고 탤런트 박영린은 뿅 망치를 들고 나타나 MC인 김준호와 김원효가 긴장한다. 김준호는 퀴즈 초반에 선방하는 듯하다 강성범의 도발에 뿅 망치 대수를 늘려서 걸고 결국 김준호는 출연자들에게 뿅 망치를 맞게 된다. 법률 상식이 풍부한 사람들이 상금을 가져갈 수 있을지 '퀴즈쇼 사총사'에서 확인 가능하다.
